Here is the list of increments for K=12 for G=5 and F=2. The increments are over the modified Cappellaro method. In other words we have updated the phase with 0.5*arg(b_{-2^(k+1)}) for the detections in the interaction time
 2^k*tau  and with 0.5*arg(b_{2^k}) when the interaction time is changed from 2^k*tau to 2^(k-1)*tau. The phase is then incremented based on the measurement result according to the following lists.
If the measurement gives u=1, with the  probability p(u=1)=(fa+fi-(fa-fi)*vis*cos(2**(K-k)phi-theta))/2, the corresponding increment in the u=1 list is used and if 
the measurement gives u=0, with the probability p(u=0)=1-p(u=1), then the corresponding phase in the u=0 list is used.
The first controlled phase is set to zero and the updating is started from the second controlled phase.
For this value of K (K=12), N=57311 and the swarm optimization gives NV_H=0.011308963581548204.
increments for u=1				time (multiplied by tau)
	0                                    2^12
-0.1825562707041986   					 2^12	
-1.449606758219733                       2^12
-0.7799493090944658                      2^12
-1.033952350052807                       2^12
0.5216951151225624      				 2^11
-0.1083565671229967                      2^11
5.6741007458414039E-003                  2^11
0.5545584302984055                       2^11
-2.972805321846693                       2^11
0.3870661613096966                       2^11
-0.9951434739591125                      2^11
2.699772037148563       				 2^10
-1.3130695400298542E-002                 2^10
0.1883023678294768                       2^10
2.259183707741116                        2^10
0.5659805898323840                       2^10
0.2407445347547159                       2^10
-1.723405463757022                       2^10
-0.2781938158194270                      2^10
1.434684170942107                        2^10
0.3461079781913252                       2^9
0.7160327125498869                       2^9
0.7876986358573888                       2^9
-0.1156808084138912                      2^9
-0.4440803318750484                      2^9
0.1051453705867100                       2^9
-1.632398866021592                       2^9
1.781936006716517                        2^9
-0.4724081029971900                      2^9
0.2830387056677828                       2^9
-0.8924888488219613                      2^9
-1.228147242198250                       2^8
0.1712356157869905                       2^8
-0.1557797094269224                      2^8
0.9280380420784224                       2^8
1.101466332611171                        2^8
1.009314263226240                        2^8
0.8434889250944582                       2^8
-0.5100382238187673                      2^8
9.4351068613440336E-002                  2^8
0.3371975375307814                       2^8
0.3994686124060816                       2^8
0.2144917656782357                       2^8
-0.7474149878127978                      2^8
3.110578844283936                        2^7
-1.083447260088723                       2^7
0.4326779365553963                       2^7
-0.5966814358021684                      2^7
-1.792332405775105                       2^7
-1.320628527720751                       2^7
-4.3743003734750818E-002                 2^7
-6.0677488246461575E-002                 2^7
0.5446987179341090                       2^7
0.2578506107907876                       2^7
2.442821919243954                        2^7
-0.1014713429113492                      2^7
0.2560983780462558                       2^7
7.5784679147727019E-002                  2^7
1.3043622577490144E-002                  2^7
-0.6028925361346498                      2^6
1.654843717614384                        2^6
2.4117773228833350E-003                  2^6
-0.9574608836402527                      2^6
-0.9156576945097097                      2^6
-2.6224967746740990E-002                 2^6
-0.2113216599783989                      2^6
-1.084098973854362                       2^6
