 Here is the list of increments for K=7 for G=5 and F=2. The increments are over the modified Cappellaro method. In other words we have updated the phase with 0.5*arg(b_{-2^(k+1)}) for the detections in the interaction time
 2^k*tau  and with 0.5*arg(b_{2^k}) when the interaction time is changed from 2^k*tau to 2^(k-1)*tau. The phase is then incremented based on the measurement result according to the following lists.
If the measurement gives u=1, with the  probability p(u=1)=(fa+fi-(fa-fi)*vis*cos(2**(K-k)phi-theta))/2, the corresponding increment in the u=1 list is used and if 
the measurement gives u=0, with the probability p(u=0)=1-p(u=1), then the corresponding phase in the u=0 list is used.
The first controlled phase is set to zero and the updating is started from the second controlled phase.
For this value of K (K=7), N=1769 and the swarm optimization gives NV_H=0.050458776391212323.
 increments for u=1				time (multiplied by tau)
  0                                        2^7
-1.279795156228422                         2^7
0.1850209073594740                         2^7
-0.8655750489157450                        2^7
-0.2003103682498932                        2^7
-0.2615795409450916                        2^6
0.2165616474640868                         2^6
0.2881495994228382                         2^6
2.184738004126236                          2^6
-0.6511679535368549                        2^6
0.1560185934937151                         2^6
-1.354239297577394                         2^6
-0.7791611887555177                        2^5
-0.7903843213385877                        2^5
0.2932609548599387                         2^5
-1.042641651808649                         2^5
-1.971195522004868                         2^5
-0.1996593478063224                        2^5
-9.9922328114227188E-002                   2^5
-0.1832522211486411                        2^5
0.7340522983426472                         2^5
-2.240506701945976                         2^4
-2.953328442856742                         2^4
1.890485771605963                          2^4
3.6516817113597888E-002                    2^4
1.038729337413468                          2^4
-0.2794346508714254                        2^4
-0.5345860403467126                        2^4
-1.123287199594190                         2^4
-2.942908722168264                         2^4
-4.9801829791513264E-002                   2^4
-0.6157249893821941                        2^4
2.334845252262674                          2^3
0.1863467138641521                         2^3
0.9119384440139306                         2^3
-0.3040784211032239                        2^3
0.8396549535573645                         2^3
6.1035932390179237E-002                    2^3
-0.1819738512956168                        2^3
-2.903339056839181                         2^3
-0.1878748288168599                        2^3
-9.2029062979285925E-002                   2^3
0.5886141859130682                         2^3
0.4027162799725712                         2^3
2.563046437080962                          2^3
-1.848970444308219                         2^2
0.6591760304394270                         2^2
-1.533466391902437                         2^2
0.5084776040503023                         2^2
-0.4782325405079360                        2^2
-0.4629948283562104                        2^2
0.2262127795067510                         2^2
0.5411967402931719                         2^2
-0.4480298909501950                        2^2
9.1730056320471043E-002                    2^2
0.2493641770750843                         2^2
2.404844049278255                          2^2
0.9717694834306005                         2^2
-1.128179579263701                         2^2
3.7432991995636211E-002                    2^2
0.2858644973038817                         2
0.6538741904928469                         2
-0.1704843362055830                        2
1.610053118378771                          2
6.3485160101932170E-002                    2
-1.032815725035715                         2
0.9048925237016867                         2
0.2857164048414447                         2
0.2808820165381194                         2
